HE Provider,No of publications,Academic Year (start),Business and Community Servicies (Income),Continous Profesional Development and Continous Education (income),Collaborative Research (income),Intelectual Property Rights (income),Total comprehensive income for the year,Total staff
The University of Oxford,19466,2022,267383,178143,53125,75382,11698728,119120
The University of Oxford,19863,2021,296893,193662,32702,74627,11100960,115960
The University of Oxford,16703,2019,215162,139674,41198,74118,10145248,115080
The University of Cambridge,14164,2022,184578,70012,19352,15785,10073020,99720
The University of Oxford,16512,2018,200576,156610,30493,56094,9800544,112240
The University of Oxford,18188,2020,228655,158397,37170,63302,9798020,114600
The University of Cambridge,14953,2021,182808,74732,23923,11816,8952240,99720
The University of Oxford,16116,2017,191624,166880,33938,52947,8947692,106760
The University of Cambridge,13245,2018,64589,100000,32737,8061,8768212,97320
The University of Cambridge,13810,2020,181268,84602,26696,11200,8707520,99100
The University of Cambridge,13053,2019,173836,89243,31788,9603,8299560,98480
University College London,19821,2022,111154,65313,95492,7941,7873376,129480
The University of Cambridge,12961,2017,60181,83510,25384,8103,7859024,94200
University College London,20402,2021,104849,61120,106278,5253,7007116,125280
University College London,18302,2020,82650,71068,92923,7312,6437804,119640
University College London,16842,2019,81768,57371,99452,18057,6174964,106840
University College London,16667,2018,95853,73583,102836,6780,5948316,104600
University College London,15957,2017,87891,90083,78256,7623,5804464,103200
The University of Edinburgh,10063,2022,85358,31204,94038,3870,5538912,128440
The University of Manchester,10384,2022,60924,352959,58265,3307,5378660,91000
The University of Edinburgh,10271,2021,50057,38542,94276,4071,5189772,122760
"Imperial College of Science, Technology and Medicine",15372,2022,121119,96155,79582,3932,5075408,69020
King's College London,12650,2022,42609,139777,12760,1688,4919836,85660
The University of Manchester,10632,2021,56719,389588,87513,4893,4868508,87860
The University of Edinburgh,9536,2020,48487,58090,90647,1668,4749624,124080
"Imperial College of Science, Technology and Medicine",16506,2021,121380,76922,105112,11515,4652772,68460
King's College London,13644,2021,43184,249494,9826,1549,4597004,79680
The University of Edinburgh,8848,2019,42809,57752,84961,1147,4501284,120880
The University of Edinburgh,8536,2018,41222,47410,77603,1765,4406016,115280
The University of Manchester,10214,2020,33746,328995,90795,7391,4401284,84400
The University of Manchester,9550,2018,71646,296075,96397,1832,4391556,87400
"Imperial College of Science, Technology and Medicine",14942,2020,116227,67207,104690,3127,4316876,68800
"Imperial College of Science, Technology and Medicine",13286,2018,112438,26722,67129,3717,4295016,67680
The University of Manchester,9588,2019,56690,252222,92842,1548,4256784,89680
The University of Manchester,9291,2017,82431,265992,80905,2573,4236640,85600
"Imperial College of Science, Technology and Medicine",13084,2017,115006,20704,77839,1915,4132272,66200
"Imperial College of Science, Technology and Medicine",13693,2019,115098,50622,106272,3017,4105460,68920
King's College London,11992,2020,46720,217484,12956,1870,4002148,73240
The University of Leeds,6398,2022,76145,38205,42329,642,3941116,73800
The University of Edinburgh,8471,2017,36441,31598,61058,2391,3937248,110560
King's College London,10868,2019,56348,211587,9069,3035,3856700,76420
The University of Glasgow,6981,2022,75873,16764,38625,2231,3808784,78800
The University of Cambridge,12804,2016,58283,92278,82031,15408,3739850,91060
The University of Bristol,6856,2022,68240,6925,54857,504,3736588,69500
The University of Leeds,6682,2021,71922,86636,54241,549,3718140,70040
The University of Glasgow,6819,2021,111351,18010,38638,1911,3717432,78280
The University of Birmingham,6926,2022,112129,8644,18986,1001,3714864,
King's College London,10743,2018,57175,206959,30934,1224,3607860,69660
The University of Cambridge,11926,2015,59558,97050,94073,12553,3598944,88360
The University of Birmingham,7235,2021,114815,8612,14960,1249,3551760,
The University of Sheffield,6020,2022,56903,16720,101366,55472,3547804,65220
The University of Bristol,7071,2021,51379,7138,51981,485,3433940,66280
King's College London,10340,2017,52650,170919,36983,2220,3364120,67100
The University of Warwick,5249,2022,36363,23090,57771,349,3357676,64400
University of Nottingham,7963,2022,62082,9416,77108,1386,3291360,
The University of Sheffield,6357,2021,58794,23197,98911,41467,3289588,62680
The University of Glasgow,6439,2020,99722,14590,29087,1645,3252308,74240
University of Nottingham,7992,2021,61171,16264,72971,1022,3207332,
The University of Leeds,5858,2019,70830,114432,46525,645,3176204,69240
The University of Leeds,5823,2018,77240,47471,42904,996,3167400,67520
The University of Birmingham,6635,2020,81230,2216,11408,493,3142844,
The University of Warwick,5222,2021,34944,37752,55502,448,3115832,59440
The University of Bristol,6696,2020,47471,5779,43823,634,3107092,61640
The University of Leeds,6026,2020,60057,72382,42566,912,3016372,68680
The University of Birmingham,6194,2019,71588,2172,6271,492,2994316,
The University of Sheffield,5912,2020,55230,26121,100900,33203,2976052,61280
The University of Sheffield,5684,2019,58013,28644,89718,26526,2950224,62800
The University of Southampton,6030,2022,85246,6808,44081,2413,2920176,49980
The University of Birmingham,6064,2018,72226,11562,5884,279,2865184,67200
The University of Sheffield,5764,2018,60445,41112,79911,17329,2862800,59760
The University of Leeds,5518,2017,75617,38620,40868,860,2858336,63400
University of Nottingham,6878,2019,53841,17186,54154,1234,2841976,
The University of Bristol,6501,2018,49886,8916,37712,639,2827564,58680
The University of Bristol,6662,2019,45616,5457,36683,527,2826504,60920
The University of Warwick,4843,2020,36206,25123,55184,275,2814796,58760
University of Nottingham,6755,2018,55730,15170,63106,962,2804932,63320
The University of Oxford,15468,2016,188095,47251,32397,7364,2800762,105540
University of Nottingham,7486,2020,57531,13836,68621,917,2784512,
The University of Sheffield,5971,2017,67928,37889,48456,12352,2767020,58120
The University of Glasgow,6159,2019,47938,19546,23580,1799,2760424,68640
The University of Warwick,4709,2018,41168,16072,50177,248,2754088,54520
The University of Glasgow,5857,2018,42850,19148,31311,1511,2751584,64120
The University of Birmingham,5750,2017,65899,12808,4267,394,2723200,64620
The University of Warwick,4830,2019,35286,37553,54000,165,2719372,61240
Queen Mary University of London,5676,2022,32074,540,31439,1911,2719276,48520
University College London,14621,2015,108292,99612,72029,5871,2717992,97720
The University of Liverpool,6134,2022,42310,20751,32526,4858,2700632,54300
The University of Southampton,6316,2021,93840,62476,45713,1503,2691324,47840
University College London,15658,2016,110706,98024,57454,6213,2659120,99500
University of Nottingham,6728,2017,56271,11596,45712,736,2655956,61640
The University of Oxford,14683,2015,179774,61737,40072,7556,2643586,104300
The University of Bristol,6221,2017,47708,5577,12125,756,2631412,54000
Cardiff University,5121,2022,17565,101006,29404,2753,2545524,56580
Queen Mary University of London,6018,2021,30667,3440,28724,2084,2538112,45200
Cardiff University,5164,2021,18410,104047,31920,2451,2536668,55480
The University of Exeter,5091,2022,39037,10290,37953,1957,2531664,56120
The University of Warwick,4671,2017,33558,14140,42553,170,2526096,55200
The University of Glasgow,5617,2017,41883,16266,25184,1459,2522552,61360
The University of Liverpool,6318,2021,38350,22007,33486,4194,2459712,51960
Cardiff University,5007,2020,16379,85256,22964,2480,2448724,55320
Newcastle University,5338,2022,38291,19213,64654,1348,2433152,53060
The University of Liverpool,5911,2020,36795,18631,30370,2875,2390376,51300
The University of Exeter,5017,2021,34287,6348,35704,224,2347696,53540
The University of Southampton,6237,2018,75410,89110,44409,1235,2337240,49280
The University of Southampton,6291,2019,77132,56123,40307,1416,2333376,49080
The University of Southampton,6344,2017,77889,15168,37651,929,2330988,50680
The University of Liverpool,5442,2019,30543,33549,34899,2688,2305952,53880
The University of Liverpool,4963,2018,32678,45071,32469,2043,2302240,50920
Newcastle University,5056,2018,33705,21497,58639,25998,2282424,50320
Cardiff University,4771,2019,20042,71023,16196,2242,2275248,55220
Newcastle University,5447,2021,33427,11513,74577,1310,2234424,51700
The University of Southampton,6082,2020,76374,71310,41664,1617,2216308,47760
The University of Liverpool,4943,2017,30221,53833,27819,903,2182956,49440
Newcastle University,4978,2019,29132,22213,56977,1055,2176928,52300
Cardiff University,4984,2018,17537,103083,17210,2582,2154000,54440
Newcastle University,5098,2020,30480,21213,53623,774,2145516,51240
Queen Mary University of London,5432,2020,28486,3912,23401,1262,2141088,43200
The University of York,3597,2022,32672,21078,14430,1799,2074700,
Cardiff University,4599,2017,14219,109126,23614,2384,2070756,56560
Queen Mary University of London,5069,2019,28115,1950,24812,975,2049848,46280
Newcastle University,4931,2017,35733,19479,56444,1763,2044396,49520
The University of Manchester,9464,2016,67667,138517,73892,1227,2017992,85560
The University of Exeter,4371,2020,28221,6052,33176,258,2006288,50600
"Imperial College of Science, Technology and Medicine",12232,2016,115879,14788,39207,2937,1982168,66800
The University of Manchester,8965,2015,70418,127646,82371,3615,1974470,84560
Coventry University,1559,2022,8250,59767,48100,13,1965184,40580
The University of Strathclyde,3109,2022,51835,36872,64399,1155,1949448,36280
University of Durham,3822,2022,18858,11925,12438,111,1936892,43600
"Imperial College of Science, Technology and Medicine",11647,2015,125839,42344,29980,2267,1936884,65920
Queen Mary University of London,4815,2018,30847,7050,24755,771,1935428,44640
The University of York,3703,2021,29207,28327,7630,1600,1888668,
London School of Economics and Political Science,2083,2022,19558,101331,5007,100,1885220,35400
University of Durham,3256,2021,16606,10335,11627,69,1874180,40260
The University of Exeter,4227,2019,25893,6136,34398,72,1873236,47920
The University of Edinburgh,8051,2016,31954,27898,54164,2942,1857694,82480
Queen Mary University of London,4544,2017,31490,4844,22355,594,1847664,43720
Queen's University Belfast,3853,2022,51931,34008,37731,2856,1842100,35400
The University of Edinburgh,7335,2015,30143,25992,47637,3402,1816930,79760
The University of Exeter,3989,2018,23946,5270,32038,125,1797112,44440
Coventry University,1697,2021,8017,36147,53524,4,1796180,39200
London School of Economics and Political Science,2105,2021,17131,81300,4378,100,1765492,32720
Queen's University Belfast,3900,2021,49589,36906,32641,5606,1750724,34600
Coventry University,1554,2020,7778,413209,62352,11,1742532,39340
The Nottingham Trent University,1510,2022,4260,49321,843,88,1735796,
Coventry University,1406,2019,6963,143848,49669,10,1713116,38980
"University of the Arts, London",213,2022,2415,38841,3402,174,1701512,35680
The Manchester Metropolitan University,1785,2022,5248,49279,5983,0,1688184,37660
London School of Economics and Political Science,1724,2019,21192,24239,6707,0,1683624,34860
London School of Economics and Political Science,2035,2018,19986,130737,5050,0,1683208,33920
The University of Exeter,3778,2017,21586,4242,31025,67,1661956,38720
The University of York,3675,2020,27115,31555,7203,1382,1655408,
Swansea University,2361,2022,9017,23138,64509,592,1650548,30880
The Nottingham Trent University,1455,2021,4096,44453,904,83,1616548,
Coventry University,1274,2018,8115,239412,45584,54,1613844,36900
